Architecture,Max_Power,Memory,Memory_Speed
Terascale 2 Caicos XT ,18 Watts,512 MB ,900 MHz
Terascale Cedar PRO ,25 Watts,512 MB ,800 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,900 MHz
NV38 ,74 Watts,256 MB ,475 MHz
Fermi GF119-300-A1 ,29 Watts,1024 MB ,825 MHz
Fermi GF110 ,365 Watts,3072 MB ,854 MHz
Tesla G200-400-B3 (x2) ,289 Watts,1792 MB ,1008 MHz
Fermi GF100-375-A3 (x2) ,500 Watts,3072 MB ,924 MHz
Tesla G200-400-B3 (x2) ,289 Watts,1792 MB ,1053 MHz
Kepler GK104-355-A2 (x2) ,600 Watts,8192 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-355-A2 ,300 Watts,4096 MB ,1500 MHz
Kepler GK104-355-A2 ,385 Watts,4096 MB ,1502 MHz
Maxwell GM204-400-A1 ,200 Watts,4096 MB ,1762 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 (x4) ,780 Watts,8192 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,215 Watts,2048 MB ,1575 MHz
Kepler GK104-400-A2 ,215 Watts,4096 MB ,1502 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
 Kepler GK104-400-A2 (x2) ,390 Watts,4096 MB ,1502 MHz
Pascal P104-400-A1 ,250 Watts,8192 MB ,1251 MHz
Pascal P102 ,220 Watts,11264 MB ,1402 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,250 Watts,8192 MB ,1350 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Tesla G200-400-B3 (x2) ,289 Watts,1792 MB ,999 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,250 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1390 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,250 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1426 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1426 MHz
Pascal P102 ,220 Watts,11264 MB ,1426 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1426 MHz
Pascal P102 ,250 Watts,11264 MB ,1376 MHz
Pascal P102 ,250 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1404 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1388 MHz
Pascal P102 ,220 Watts,11264 MB ,1388 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P104-400-A1 ,200 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 (x2) ,360 Watts,16384 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1250 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1263 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,200 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1263 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1250 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,215 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P102 ,220 Watts,11264 MB ,1376 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,300 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,300 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2125 MHz
Pascal P104-200-A1 ,220 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2027 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2125 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2052 MHz
Pascal P104-400-A1 ,180 Watts,8192 MB ,1251 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2027 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2127 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2127 MHz
Pascal P104-200-A1 ,180 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2027 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2027 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2052 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P104-200-A1 ,150 Watts,8192 MB ,2127 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2052 MHz
Pascal P106-400-A1 ,130 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2027 MHz
Pascal P106-400-A1 ,140 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-400-A1 ,120 Watts,6144 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P106-300-A1 ,120 Watts,3072 MB ,2002 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,4096 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Pascal ,30 Watts,2048 MB ,1000 MHz
Pascal P107 ,75 Watts,2048 MB ,1752 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1575 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1552 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1552 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1552 MHz
Kepler GK104-400-A2 ,225 Watts,4096 MB ,1502 MHz
Kepler GK104-400-A2 ,195 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 (x2) ,340 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 ,185 Watts,2048 MB ,1527 MHz
Kepler GK104-325-A2 ,180 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 ,180 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,225 Watts,2048 MB ,1552 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1552 MHz
Kepler GK104-325-A2 ,170 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 (x2) ,450 Watts,4096 MB ,1552 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK104-325-A2 (x2) ,340 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,4096 MB ,1502 MHz
Kepler GK104-325-A2 ,170 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-450-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,3072 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,3072 MB ,1502 MHz
Kepler GK104-200-KD-A2 (x2) ,300 Watts,4096 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,190 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104 ,300 Watts,4096 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,3072 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,160 Watts,2048 MB ,1527 MHz
Kepler GK104-300-KD-A2 (x2) ,300 Watts,4096 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,3072 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,3072 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1525 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,225 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-200-KD-A2 (x3) ,450 Watts,6144 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1527 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,225 Watts,2048 MB ,1502 MHz
Kepler GK104-300-KD-A2 ,150 Watts,2048 MB ,1702 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 (x2) ,280 Watts,4096 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,3072 MB ,1502 MHz
Kepler GK106-400-A1 (x2) ,260 Watts,4096 MB ,1502 MHz
Kepler GK106-400-A1 ,280 Watts,6144 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,3072 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,3072 MB ,1502 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK104-200-KD-A2 ,130 Watts,3072 MB ,1400 MHz
Kepler GK104-200-KD-A2 ,130 Watts,1536 MB ,1400 MHz
Kepler GK106-240-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-220-A1 ,110 Watts,2048 MB ,1350 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-400-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-240-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-220-A1 ,110 Watts,2048 MB ,1350 MHz
Kepler GK106-220-A1 ,100 Watts,1024 MB ,1375 MHz
Kepler GK106-220-A1 ,100 Watts,1024 MB ,1350 MHz
Kepler GK106-220-A1 ,110 Watts,1024 MB ,1350 MHz
Kepler GK106-240-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-220-A1 ,150 Watts,2048 MB ,1350 MHz
Kepler GK106-240-A1 ,140 Watts,1024 MB ,1253 MHz
Kepler GK106-220-A1 ,150 Watts,1024 MB ,1350 MHz
Kepler GK106-240-A1 ,140 Watts,2048 MB ,1527 MHz
Kepler GK106-220-A1 ,150 Watts,1024 MB ,1350 MHz
Kepler GK106-240-A1 ,134 Watts,1024 MB ,1253 MHz
Kepler GK106-240-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-240-A1 ,140 Watts,2048 MB ,1502 MHz
Kepler GK106-220-A1 ,110 Watts,1024 MB ,1350 MHz
Kepler GK106-240-A1 ,134 Watts,2048 MB ,1502 MHz
Kepler GK106-220-A1 (x2) ,268 Watts,4096 MB ,1502 MHz
Kepler GK106-220-A1 ,110 Watts,1024 MB ,1350 MHz
Kepler GK106-240-A1 ,150 Watts,2048 MB ,1502 MHz
Kepler GK107-450-A2 ,65 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,65 Watts,2048 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,75 Watts,2048 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,65 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-450-A2 ,84 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-450-A2 ,75 Watts,2048 MB ,1250 MHz
Kepler GK107-450-A2 ,150 Watts,1024 MB ,1275 MHz
Kepler GK107-450-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-450-A2 ,75 Watts,2048 MB ,1250 MHz
Kepler GK107-450-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-300-A2 ,65 Watts,2048 MB ,891 MHz
Kepler GK208-400-A1 ,49 Watts,1024 MB ,1252 MHz
Kepler GK208-400-A1 ,49 Watts,2048 MB ,1252 MHz
Kepler GK208-400-A1 ,49 Watts,1024 MB ,1252 MHz
Kepler GK107-300-A2 ,49 Watts,1024 MB ,1250 MHz
Kepler GK107-300-A2 ,65 Watts,2048 MB ,810 MHz
Kepler GK208-400-A1 ,49 Watts,2048 MB ,1252 MHz
Kepler GK107-300-A2 ,65 Watts,2048 MB ,800 MHz
Kepler GK106 ,65 Watts,1024 MB ,1000 MHz
Kepler GK107-300-A2 ,65 Watts,2048 MB ,900 MHz
Kepler GK107-300-A2 ,65 Watts,1024 MB ,891 MHz
Kepler GK107-300-A2 ,65 Watts,4096 MB ,667 MHz
Kepler GK107-300-A2 ,65 Watts,2048 MB ,891 MHz
Kepler GK107-300-A2 ,65 Watts,2048 MB ,891 MHz
Fermi GF108-400-A1 ,65 Watts,1024 MB ,667 MHz
Kepler GK208-301-A1 ,25 Watts,4096 MB ,800 MHz
Kepler GK208-301-A1 ,35 Watts,2048 MB ,1001 MHz
Kepler GK107-301-A2 ,50 Watts,2048 MB ,905 MHz
Fermi GF108-400-A1 ,65 Watts,1024 MB ,800 MHz
Kepler GK208-301-A1 ,25 Watts,2048 MB ,900 MHz
Fermi GF108-400-A1 ,65 Watts,2048 MB ,667 MHz
Fermi GF108-400-A1 ,65 Watts,1024 MB ,700 MHz
Fermi GF108-400-A1 ,65 Watts,4096 MB ,1000 MHz
Fermi GF108-400-A1 ,65 Watts,2048 MB ,800 MHz
Kepler GK208-301-A1 ,25 Watts,2048 MB ,900 MHz
Fermi GF108-400-A1 ,65 Watts,4096 MB ,533 MHz
Fermi GF108-400-A1 ,65 Watts,1024 MB ,800 MHz
Fermi GF108-400-A1 ,65 Watts,2048 MB ,535 MHz
Fermi GF108-100-KB-A1 ,49 Watts,2048 MB ,533 MHz
Fermi GF108-100-KB-A1 ,49 Watts,2048 MB ,500 MHz
Fermi GF119-300-A1 ,30 Watts,1024 MB ,898 MHz
Fermi GF108-100-KB-A1 ,30 Watts,1024 MB ,535 MHz
Fermi GF108-400-A1 ,65 Watts,1024 MB ,900 MHz
Fermi GF119-300-A1 ,29 Watts,2048 MB ,500 MHz
Fermi GF119-300-A1 ,29 Watts,2048 MB ,533 MHz
Fermi GF119-300-A1 ,29 Watts,2048 MB ,535 MHz
Fermi GF108-100-KB-A1 ,49 Watts,1024 MB ,900 MHz
Fermi GF119-300-A1 ,29 Watts,2048 MB ,667 MHz
Fermi GF119-300-A1 ,29 Watts,2048 MB ,600 MHz
Fermi GF119-B1 ,29 Watts,1024 MB ,500 MHz
Fermi GF119-B1 ,25 Watts,512 MB ,898 MHz
Fermi GF119-300-A1 ,29 Watts,1024 MB ,900 MHz
Fermi GF119-B1 ,25 Watts,1024 MB ,898 MHz
Tesla GT200 B3 (x2) ,408 Watts,2048 MB ,1242 MHz
Tesla G200-400-B3 (x2) ,289 Watts,1792 MB ,999 MHz
Tesla G200-350-B3 ,204 Watts,1024 MB ,1242 MHz
Tesla G200-105-B3 ,219 Watts,896 MB ,1134 MHz
Tesla G200-400-B3 (x2) ,500 Watts,4096 MB ,1100 MHz
Tesla G200-302-A2 ,236 Watts,1024 MB ,1107 MHz
Tesla GT200 B3 (x2) ,430 Watts,1792 MB ,1134 MHz
Tesla G200-103-B2 ,171 Watts,896 MB ,1050 MHz
Tesla G200-103-B2 ,171 Watts,896 MB ,1100 MHz
Tesla G200-103-B2 ,182 Watts,1792 MB ,1008 MHz
Tesla G200-103-B2 ,171 Watts,896 MB ,1100 MHz
Tesla G200-103-B2 ,171 Watts,896 MB ,1050 MHz
Tesla G200-103-B2 ,171 Watts,896 MB ,999 MHz
Tesla G92-428-B1 ,125 Watts,1024 MB ,1000 MHz
